mmdd,prophecy,data_notes,style
02-05,Mark it: the streets give up in several places at once and somehow the boats are mostly just floating. Proceed accordingly.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
02-05,"Before it ends, the ground itself shall register its complaint while need shall rest, briefly, at a distance.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-06,Be advised: the law has a very full calendar and yet the city bites its tongue. Or don't.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-06,"Before it ends, the law will move swiftly and with purpose though the animals will watch from a careful distance.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
02-07,"Know this: someone is definitely getting caught at the same time the shelter system breathes easy, briefly. Plan around it.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-07,"The long arm will reach further than expected today and yet need shall rest, briefly, at a distance.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-08,"The handcuffs find their purpose and somehow dogs are, mysteriously, calm. Plan around it.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
02-08,Reckoning shall find those it seeks yet no fang shall find purchase today.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
02-09,Mark it: the law stirs with intent while teeth make no commitments today. Plan around it.,"• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
02-09,"Before it ends, justice will have work to do while the beasts of the city shall stay their hand.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
02-10,"Mark it: the biting is purposeful yet the roads are, uncharacteristically, fine. Take note.","• Number of dog bite incidents reported to DOHMH: High
• Number of street condition complaints to 311: Very Low",irreverent
02-10,The animals will make themselves known as the roads shall carry all things without complaint. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: High
• Number of street condition complaints to 311: Very Low",poetic
02-11,"Know this: warmth is not given freely meanwhile the pavement has no complaints, for once. Proceed accordingly.","• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",irreverent
02-11,Warmth will be sought across many thresholds as the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",poetic
02-12,The pipes speak up yet the bureaucracy rests. Proceed accordingly.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-12,"On this day, the cold shall press inward and be answered and yet need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-13,Heat makes demands without asking though the waiting rooms wait alone. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-13,"When the time comes, the walls shall cry out for warmth yet a rare quiet shall settle over the pavement.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-14,Mark it: the walls boil with something to say meanwhile the city bites its tongue.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-14,"Before it ends, heat will be demanded and denied in equal measure while need shall rest, briefly, at a distance. Let this be known.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-15,"Mark it: the pipes have opinions and they will not be silenced yet the shelter system breathes easy, briefly. Proceed accordingly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-15,"In the hours ahead, reckoning shall find those it seeks and still need shall rest, briefly, at a distance.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-16,"Today, the radiators groan their usual complaints elsewhere the city bites its tongue.","• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-16,Warmth will be sought across many thresholds even as the city will hold its breath.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-17,"Today, dogs make their feelings known physically yet the shelter system breathes easy, briefly.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-17,Teeth shall find their mark before the day ends and still the harbor will lie still and patient. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very Low",poetic
02-18,"On this day, the radiators are furious though the cops are looking elsewhere.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
02-18,The walls shall cry out for warmth even as the harbor will lie still and patient. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
02-19,Dogs make decisions and yet the law rests its hand. Plan around it.,"• Number of dog bite incidents reported to DOHMH: High
• Number of NYPD arrests: Very Low",irreverent
02-19,"On this day, the day carries a bite in it though no reckoning shall come today. So it shall be.","• Number of dog bite incidents reported to DOHMH: High
• Number of NYPD arrests: Very Low",poetic
02-20,The pipes have opinions and they will not be silenced though the dogs observe without incident. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
02-20,"In the hours ahead, the cold within will not be suffered in silence even as the animals will watch from a careful distance. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
02-21,Know this: justice is making appointments though the waiting rooms wait alone.,"• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-21,The law will move swiftly and with purpose as the streets shall offer silence as a gift.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-22,Infrastructure voices its grievances loudly yet teeth make no commitments today. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
02-22,The ground itself shall register its complaint and yet the beasts of the city shall stay their hand.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
02-23,Warmth is not given freely while the harbor sees little traffic. Proceed accordingly.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",irreverent
02-23,The cold shall press inward and be answered and still the water will be asked to carry very little. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",poetic
02-24,Be advised: dogs make their feelings known physically while the grime has retreated to consider its options.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
02-24,The boundary between human and animal will be tested and still the law shall rest its hand upon no one. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low",poetic
02-25,The pipes speak up and somehow the bureaucracy rests. Take note.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-25,"Warmth will be sought across many thresholds while need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
02-26,"Know this: every dog has a grievance and the nerve to file it elsewhere the shelter system breathes easy, briefly.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-26,"When the time comes, the boundary between human and animal will be tested and still a rare quiet shall settle over the pavement.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-27,Mark it: infrastructure voices its grievances loudly elsewhere the city bites its tongue. Or don't.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
02-27,The ground itself shall register its complaint as a rare quiet shall settle over the pavement.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
02-28,The pavement cracks under the weight of its own feelings elsewhere the waiting rooms wait alone. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-28,The earth beneath the city shall demand attention and still the water will be asked to carry very little.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
02-29,"On this day, the pavement cracks under the weight of its own feelings at the same time the bureaucracy rests. Proceed accordingly.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
02-29,The roads will bear witness to their own exhaustion yet the city will be asked for very little today.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-01,Mark it: the radiators groan their usual complaints elsewhere teeth make no commitments today. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-01,"In the hours ahead, warmth will be sought across many thresholds though no fang shall find purchase today. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
03-02,The pipes speak up meanwhile the ferries idle with dignity. Plan around it.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",irreverent
03-02,The cold shall press inward and be answered though the harbor will lie still and patient.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low",poetic
03-03,"The streets open their throats and do not close them while something has been cleaned up, for now. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
03-03,"In the hours ahead, what is felt will be spoken aloud, loudly while the city will present a cleaner face to the world.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
03-04,"Be advised: the streets give up in several places at once while the water chills, privately. Take note.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
03-04,The reservoirs will be alive with oxygen today and still the law shall rest its hand upon no one.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low",poetic
03-05,Be advised: the pavement cracks under the weight of its own feelings elsewhere an unusual quiet descends on the streets. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
03-05,The earth beneath the city shall demand attention though the water will be asked to carry very little. Let this be known.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
03-06,The pavement cracks under the weight of its own feelings and yet an unusual quiet descends on the streets. You have been warned.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
03-06,"Before it ends, the long arm will reach further than expected today yet the harbor will lie still and patient. Take shelter or take heed.","• Number of NYPD arrests: Very High
• Number of NYC Ferry boardings: Very Low",poetic
03-07,Mark it: the law has a very full calendar meanwhile the city bites its tongue. Plan around it.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
03-07,The law will move swiftly and with purpose and still a rare quiet shall settle over the pavement.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
03-08,"On this day, infrastructure voices its grievances loudly elsewhere teeth make no commitments today.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-08,The ground itself shall register its complaint yet the beasts of the city shall stay their hand. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
03-09,The pipes speak up at the same time the waiting rooms wait alone. You have been warned.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
03-09,"Warmth will be sought across many thresholds while need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-10,Mark it: dogs make their feelings known physically and yet the grime has retreated to consider its options.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
03-10,The earth beneath the city shall demand attention as the water will be asked to carry very little.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
03-11,"Know this: the water is unusually full of itself while the reservoirs run cold, as if to make a point. Plan around it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
03-11,"Before it ends, that which festers will rise to the surface even as need shall rest, briefly, at a distance. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-12,The pavement cracks under the weight of its own feelings meanwhile the dogs observe without incident. Take note.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-12,The ground itself shall register its complaint and yet the animals will watch from a careful distance.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
03-13,"Be advised: the streets give up in several places at once, the law has a very full calendar. You have been warned.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",irreverent
03-13,"On this day, the ground itself shall register its complaint, the long arm will reach further than expected today.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High",poetic
03-14,"Someone is definitely getting caught and yet dogs are, mysteriously, calm. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-14,The ground itself shall register its complaint and still the animals will watch from a careful distance. So it shall be.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
03-15,Be advised: the pavement cracks under the weight of its own feelings though dogs are not playing around. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: High",irreverent
03-15,"Before it ends, the roads will bear witness to their own exhaustion and yet the animals will make themselves known.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: High",poetic
03-16,Mark it: the streets are loud and mean it and yet the grime has retreated to consider its options.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
03-16,The streets shall not be quiet and still the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
03-17,The streets open their throats and do not close them though the cops are looking elsewhere. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
03-17,The air shall fill with voices too numerous to name though what gathers in shadows shall remain there today. Heed it.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
03-18,The streets give up in several places at once elsewhere the waiting rooms wait alone. Plan around it.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
03-18,"When the time comes, the ground itself shall register its complaint even as the city will be asked for very little today.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-19,"On this day, the reservoirs breathe very deeply today and yet the reservoirs run cold, as if to make a point. You have been warned.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
