prophecy_index,mmdd,prophecy,data_notes
17,01-06,"Warmth will turn possessive, filling every room without permission; the streets will go uncannily still.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
18,01-06,"It will be a time when the world will fall quiet in a way that feels like a question — and when the ground will offer safe passage, strangely.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
19,01-07,"As the seeking will be sparse, so too warmth will become an argument no one asked for.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
20,01-07,"The signs agree: something caged and burning will demand acknowledgment, and the streets will go uncannily still.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
21,01-07,"When the world will fall quiet in a way that feels like a question, know also that the road will offer no resistance and reveal nothing.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
22,01-08,What comes: what was meant to warm will scorch instead. What follows: the underground will thrive without witnesses.,Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
23,01-08,Something persistent and small will outnumber everything visible. And beyond that: the air will hold its breath for reasons it will not explain.,Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
24,01-08,It will be a time when the silence will arrive first and stay longest — and when the other shore will remain unvisited.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
25,01-09,"The other shore will remain unvisited, even while the air will hold its breath for reasons it will not explain.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
26,01-09,"Those who bite will choose restraint, even while those who might cross will choose to stay.",Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
27,01-09,What comes: the teeth will stay hidden behind the smile. What follows: most will move freely.,Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Low
28,01-10,"As the wandering will be few, so too rot will have its season.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very High
29,01-10,"Few will seek the other shore, even while the underneath will assert itself.",Number of unsanitary condition complaints to 311: Very High | Number of NYC Ferry boardings: Very Low
30,01-10,First few will seek the other shore; then the tame will surprise.,Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very High
31,01-11,"Mark it well: the displaced will dwindle, even as the teeth will stay hidden behind the smile.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low
32,01-11,"As the teeth will stay hidden behind the smile, so too what was loose will be made tight.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very High
33,01-11,"As the nets will be cast wide and hauled full, so too warmth will press its claims persistently.",Number of NYPD arrests: Very High | Number of heat/hot water complaints to 311: High
34,01-12,"Where passage will be refused by most, there too what could wound will choose not to.",Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
35,01-12,It will be a time when gentleness will prevail in the places you least expected it — and when fewer will wander without shelter.,Number of dog bite incidents reported to DOHMH: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
36,01-12,First the displaced will diminish somewhat; then warmth will be assertive without being rude about it.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: High
37,01-13,Shelter will have found most of its seekers; even the wind will lower its voice.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
38,01-13,"Where the world will fall quiet in a way that feels like a question, there too roads will be unnervingly obliging.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
39,01-13,"What comes: the ground will offer safe passage, strangely. What follows: the unclean will clean itself, briefly.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
40,01-14,"As the seeking will be sparse, so too warmth will become an argument no one asked for.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
41,01-14,It will be a time when heat will make its case loudly and without remorse — and when the streets will grow strange in their quiet.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
42,01-14,It will be a time when the streets will go uncannily still — and when the ground will hold its tongue entirely.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
43,01-15,First most will be found where they belong; then what was meant to warm will scorch instead.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
44,01-15,"Mark it well: warmth will turn possessive, filling every room without permission, even as the streets will grow strange in their quiet.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
45,01-15,"Even the wind will lower its voice, and yet the ground will offer safe passage, strangely.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
46,01-16,"Where the displaced will dwindle, there too warmth will turn possessive, filling every room without permission.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
47,01-16,It will be a time when what was meant to warm will scorch instead — and when a hush will settle where it is not welcome.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
48,01-16,The streets will grow strange in their quiet; the underneath will assert itself.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
49,01-17,What was meant to warm will scorch instead. And beyond that: the silence will arrive first and stay longest.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
50,01-17,"The signs agree: the world will fall quiet in a way that feels like a question, and what festers will make itself known without apology.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
51,01-17,"Mark it well: what was ignored will no longer accept being ignored, even as the hidden waters will carry winter still.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
52,01-18,"Where the wandering will be few, there too warmth will turn possessive, filling every room without permission.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
53,01-18,"What was meant to warm will scorch instead, and yet a hush will settle where it is not welcome.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
54,01-18,"Decay will no longer be polite about its presence, even while silence will press its ear against the pavement.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
55,01-19,First the wandering will be few; then fever will insist upon itself behind every door.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
56,01-19,The walls will hold a warmth that will not be released. And beyond that: the air will hold its breath for reasons it will not explain.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
57,01-19,"As sound will withdraw so entirely as to become suspicious, so too the ground will offer safe passage, strangely.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
58,01-20,First most will be found where they belong; then what was meant to warm will scorch instead.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
59,01-20,What was meant to warm will scorch instead; silence will press its ear against the pavement.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
60,01-20,What comes: the silence will arrive first and stay longest. What follows: the ground will hold its tongue entirely.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
61,01-21,"The signs agree: the rootless will thin to near nothing, and the burning in the walls will find no relief.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
62,01-21,"It will be a time when warmth will turn possessive, filling every room without permission — and when sound will withdraw so entirely as to become suspicious.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
63,01-21,"Mark it well: the air will hold its breath for reasons it will not explain, even as the earth will keep its surface smooth and say little.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
64,01-22,"What comes: those without harbor will be rare. What follows: warmth will turn possessive, filling every room without permission.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
65,01-22,"When fever will insist upon itself behind every door, know also that the air will hold its breath for reasons it will not explain.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
66,01-22,"Mark it well: even the wind will lower its voice, even as what was swept under will crawl back out.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
67,01-23,The rootless will thin to near nothing. And beyond that: warmth will become an argument no one asked for.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
68,01-23,"When warmth will become an argument no one asked for, know also that even the wind will lower its voice.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
69,01-23,What comes: sound will withdraw so entirely as to become suspicious. What follows: the hidden filth will speak and be understood.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
70,01-24,What comes: the displaced will dwindle. What follows: the silence will arrive first and stay longest.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
71,01-24,"Where what usually shouts will only stare, there too few will seek the other shore.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
72,01-24,"When the crossing will go mostly unattempted, know also that the beloved will show its teeth.",Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very High
73,01-25,What comes: passage will be refused by most. What follows: fewer will wander without shelter.,Number of NYC Ferry boardings: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
74,01-25,"Fewer will wander without shelter, and yet warmth will be assertive without being rude about it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: High
75,01-25,The walls will hold onto their heat like a secret; decay will be assertive.,Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: High
76,01-26,The other shore will remain unvisited; those who bite will choose restraint.,Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
77,01-26,"Mark it well: no familiar thing will bite, even as fewer will wander without shelter.",Number of dog bite incidents reported to DOHMH: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
78,01-26,"The indoors will burn with quiet conviction, even while the displaced will diminish somewhat.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: High
79,01-27,What comes: what rots will do so discreetly. What follows: the water will not be asked to carry much.,Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
80,01-27,"When the crossing will be empty of purpose, know also that the walls will keep their own counsel.",Number of NYC Ferry boardings: Very Low | Number of rodent inspections conducted by NYC: Very Low
81,01-27,First what usually moves unseen will take its leave; then the displaced will diminish somewhat.,Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
82,01-28,Most will be found where they belong; the world will fall quiet in a way that feels like a question.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
83,01-28,"It will be a time when the streets will grow strange in their quiet — and when the unclean will clean itself, briefly.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
84,01-28,"What comes: the unclean will clean itself, briefly. What follows: the tame will remain tame, against all precedent.",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
85,01-29,First those without harbor will be rare; then the streets will go uncannily still.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
86,01-29,"Where sound will withdraw so entirely as to become suspicious, there too the pavement will have opinions and express them underfoot.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
87,01-29,What lies just beneath the surface will make itself known. And beyond that: the ferry will cross in near-silence.,Number of street condition complaints to 311: Very High | Number of NYC Ferry boardings: Very Low
88,01-30,The wandering will be few. And beyond that: what was meant to warm will scorch instead.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
89,01-30,"The signs agree: warmth will become an argument no one asked for, and what usually shouts will only stare.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
90,01-30,"Where a hush will settle where it is not welcome, there too the very ground will be in a difficult mood.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
91,01-31,It will be a time when the wandering will be few — and when warmth will become an argument no one asked for.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
92,01-31,What was meant to warm will scorch instead. And beyond that: the streets will grow strange in their quiet.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
93,01-31,"As the streets will go uncannily still, so too the tame will remain tame, against all precedent.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
94,02-01,What comes: even the wind will lower its voice. What follows: freedom will require negotiation.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYPD arrests: Very High
95,02-01,The iron will be busy. And beyond that: the very ground will be in a difficult mood.,Number of NYPD arrests: Very High | Number of street condition complaints to 311: Very High
96,02-01,"Where the pavement will have opinions and express them underfoot, there too the displaced will diminish somewhat.",Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
97,02-02,"What usually shouts will only stare, and yet the other shore will remain unvisited.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
98,02-02,"Few will seek the other shore, and yet the displaced will diminish somewhat.",Number of NYC Ferry boardings: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
99,02-02,Fewer will wander without shelter. And beyond that: decay will be mostly restrained.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: Low
100,02-03,"The signs agree: shelter will have found most of its seekers, and filth will stay where it was put.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
101,02-03,What comes: decay will agree to stay hidden. What follows: what gnaws will gnaw elsewhere.,Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
102,02-03,"The crossing will be empty of purpose, even while what gnaws will gnaw elsewhere.",Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
103,02-04,Those without harbor will be rare; the underneath will hold its silence.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
104,02-04,"Where decay will remain underground where it belongs, there too the streets will be smooth in a way that asks no questions.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
105,02-04,First the ground will hold its tongue entirely; then those who might cross will choose to stay.,Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
106,02-05,The wandering will be few. And beyond that: the world will fall quiet in a way that feels like a question.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
107,02-05,"A hush will settle where it is not welcome, and yet the ground will rise in its complaints and they will be many.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
108,02-05,What comes: the road will speak through its fractures. What follows: passage will be refused by most.,Number of street condition complaints to 311: Very High | Number of NYC Ferry boardings: Very Low
109,02-06,Wandering will go unfashionable. And beyond that: something caged and burning will demand acknowledgment.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
110,02-06,What comes: the walls will hold a warmth that will not be released. What follows: the silence will arrive first and stay longest.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
111,02-06,"Mark it well: sound will withdraw so entirely as to become suspicious, even as the earth underfoot will offer no promises.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
112,02-07,"Those without harbor will be rare, and yet no familiar thing will bite.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low
113,02-07,It will be a time when the familiar will hold its fangs — and when what lives unseen will live abundantly.,Number of dog bite incidents reported to DOHMH: Very Low | Number of rodent inspections conducted by NYC: Very High
114,02-07,"When beneath every floor something will be very busy, know also that restraint will be generously applied.",Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: Very High
115,02-08,No familiar thing will bite; the nets will be cast wide and hauled full.,Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very High
116,02-08,"Where restraint will be generously applied, there too the underground will thrive without witnesses.",Number of NYPD arrests: Very High | Number of rodent inspections conducted by NYC: Very High
117,02-08,What comes: the underground will thrive without witnesses. What follows: fewer will wander without shelter.,Number of rodent inspections conducted by NYC: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
118,02-09,It will be a time when those who bite will choose restraint — and when fewer will wander without shelter.,Number of dog bite incidents reported to DOHMH: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
119,02-09,"When fewer will wander without shelter, know also that decay will be mostly restrained.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: Low
120,02-09,"Decay will be mostly restrained, and yet binding will be common.",Number of unsanitary condition complaints to 311: Low | Number of NYPD arrests: High
121,02-10,First what festers will fester quietly and without complaint; then the hidden population will thin considerably.,Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
122,02-10,"As the hidden multitude will disperse without fanfare, so too the path will cooperate in ways that seem almost suspicious.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
123,02-10,The earth will behave impeccably and give nothing away. And beyond that: fewer will wander without shelter.,Number of street condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
124,02-11,"The hidden population will thin considerably, even while the underneath will hold its silence.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
125,02-11,First the hidden population will thin considerably; then the road will offer no resistance and reveal nothing.,Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
126,02-11,Roads will be unnervingly obliging; the waters will wait in near-solitude.,Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
127,02-12,"The rootless will thin to near nothing, and yet warmth will be assertive without being rude about it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: High
128,02-12,"The walls will hold onto their heat like a secret, and yet the streets will whisper rather than shout.",Number of heat/hot water complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: Low
129,02-12,"As the world will speak in undertones, so too decay will be assertive.",Number of noise (street/sidewalk) complaints to 311: Low | Number of unsanitary condition complaints to 311: High
130,02-13,"As the wandering will be few, so too warmth will turn possessive, filling every room without permission.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
131,02-13,The walls will press their fever outward. And beyond that: even the wind will lower its voice.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
132,02-13,"The great waters will go largely uncrossed, even while the streets will go uncannily still.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
133,02-14,"As the seeking will be sparse, so too the walls will press their fever outward.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
134,02-14,"Mark it well: the walls will hold a warmth that will not be released, even as even the wind will lower its voice.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
135,02-14,"The air will hold its breath for reasons it will not explain, and yet the road will demand some attention.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: High
136,02-15,"The rootless will thin to near nothing, and yet what was meant to warm will scorch instead.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
137,02-15,"The signs agree: the walls will press their fever outward, and sound will withdraw so entirely as to become suspicious.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
138,02-15,The streets will go uncannily still. And beyond that: what was loose will be made tight.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYPD arrests: Very High
139,02-16,The wandering will be few. And beyond that: a hush will settle where it is not welcome.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
140,02-16,"Mark it well: the world will fall quiet in a way that feels like a question, even as the hidden multitude will be vast.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very High
141,02-16,It will be a time when the hidden multitude will be vast — and when the crossing will go mostly unattempted.,Number of rodent inspections conducted by NYC: Very High | Number of NYC Ferry boardings: Very Low
142,02-17,"The world will fall quiet in a way that feels like a question, even while the seeking will be sparse.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
143,02-17,"A hush will settle where it is not welcome. And beyond that: the ground will offer safe passage, strangely.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
144,02-17,"Mark it well: roads will be unnervingly obliging, even as rot will be on its best behavior.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
145,02-18,"The signs agree: those without harbor will be rare, and the walls will press their fever outward.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
146,02-18,"First warmth will turn possessive, filling every room without permission; then the earth will behave impeccably and give nothing away.",Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Very Low
147,02-18,What comes: the earth will keep its surface smooth and say little. What follows: decay will remain underground where it belongs.,Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
148,02-19,"As the wandering will be few, so too the streets will grow strange in their quiet.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
149,02-19,"When a hush will settle where it is not welcome, know also that the hidden multitude will disperse without fanfare.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
150,02-19,First the underground will go quiet; then the crossing will be empty of purpose.,Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
151,02-20,"Something caged and burning will demand acknowledgment, even while wandering will go unfashionable.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
152,02-20,"Even the wind will lower its voice, even while heat will make its case loudly and without remorse.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
153,02-20,"Mark it well: the air will hold its breath for reasons it will not explain, even as the familiar will hold its fangs.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
154,02-21,Wandering will go unfashionable; the walls will press their fever outward.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
155,02-21,The walls will hold a warmth that will not be released. And beyond that: the silence will arrive first and stay longest.,Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
156,02-21,"When the silence will arrive first and stay longest, know also that more will be held than released.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYPD arrests: Very High
157,02-22,The streets will grow strange in their quiet; gentleness will prevail in the places you least expected it.,Number of noise (street/sidewalk) complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
158,02-22,No familiar thing will bite. And beyond that: the ground itself will rebel.,Number of dog bite incidents reported to DOHMH: Very Low | Number of street condition complaints to 311: Very High
159,02-22,"The pavement will have opinions and express them underfoot, and yet fewer will wander without shelter.",Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
160,02-23,"The signs agree: the ferry will cross in near-silence, and the underground will thrive without witnesses.",Number of NYC Ferry boardings: Very Low | Number of rodent inspections conducted by NYC: Very High
161,02-23,What comes: the underground will thrive without witnesses. What follows: fewer will wander without shelter.,Number of rodent inspections conducted by NYC: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
162,02-23,The displaced will diminish somewhat. And beyond that: the walls will hold onto their heat like a secret.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: High
163,02-24,"Rot will be on its best behavior, even while the seeking will be sparse.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
164,02-24,"What rots will do so discreetly, and yet the ground will offer safe passage, strangely.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
