source,date,mmdd,month,day,weekday,value,abundance,description
311_dhs,2024-05-28,05-28,May,28,Tuesday,175,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-29,05-29,May,29,Wednesday,204,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-30,05-30,May,30,Thursday,153,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-05-31,05-31,May,31,Friday,193,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-01,06-01,June,1,Saturday,156,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-02,06-02,June,2,Sunday,153,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-03,06-03,June,3,Monday,226,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-04,06-04,June,4,Tuesday,220,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-05,06-05,June,5,Wednesday,215,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-06,06-06,June,6,Thursday,199,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-07,06-07,June,7,Friday,193,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-08,06-08,June,8,Saturday,140,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-09,06-09,June,9,Sunday,136,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-10,06-10,June,10,Monday,199,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-11,06-11,June,11,Tuesday,213,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-12,06-12,June,12,Wednesday,196,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-13,06-13,June,13,Thursday,157,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-14,06-14,June,14,Friday,138,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-15,06-15,June,15,Saturday,151,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-16,06-16,June,16,Sunday,115,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-17,06-17,June,17,Monday,196,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-18,06-18,June,18,Tuesday,182,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-19,06-19,June,19,Wednesday,134,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-20,06-20,June,20,Thursday,174,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-21,06-21,June,21,Friday,196,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-22,06-22,June,22,Saturday,135,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-23,06-23,June,23,Sunday,147,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-24,06-24,June,24,Monday,200,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-25,06-25,June,25,Tuesday,216,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-26,06-26,June,26,Wednesday,233,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-27,06-27,June,27,Thursday,190,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-28,06-28,June,28,Friday,207,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-29,06-29,June,29,Saturday,132,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-06-30,06-30,June,30,Sunday,99,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-01,07-01,July,1,Monday,208,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-02,07-02,July,2,Tuesday,205,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-03,07-03,July,3,Wednesday,161,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-04,07-04,July,4,Thursday,158,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-05,07-05,July,5,Friday,164,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-06,07-06,July,6,Saturday,148,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-07,07-07,July,7,Sunday,136,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-08,07-08,July,8,Monday,247,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-09,07-09,July,9,Tuesday,221,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-10,07-10,July,10,Wednesday,215,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-11,07-11,July,11,Thursday,217,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-12,07-12,July,12,Friday,197,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-13,07-13,July,13,Saturday,172,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-14,07-14,July,14,Sunday,142,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-15,07-15,July,15,Monday,200,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-16,07-16,July,16,Tuesday,210,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-17,07-17,July,17,Wednesday,191,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-18,07-18,July,18,Thursday,204,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-19,07-19,July,19,Friday,148,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-20,07-20,July,20,Saturday,143,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-21,07-21,July,21,Sunday,133,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-22,07-22,July,22,Monday,186,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-23,07-23,July,23,Tuesday,193,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-24,07-24,July,24,Wednesday,220,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-25,07-25,July,25,Thursday,233,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-26,07-26,July,26,Friday,200,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-27,07-27,July,27,Saturday,190,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-28,07-28,July,28,Sunday,128,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-29,07-29,July,29,Monday,206,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-30,07-30,July,30,Tuesday,213,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-07-31,07-31,July,31,Wednesday,230,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-01,08-01,August,1,Thursday,218,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-02,08-02,August,2,Friday,196,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-03,08-03,August,3,Saturday,163,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-04,08-04,August,4,Sunday,117,Low,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-05,08-05,August,5,Monday,204,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-06,08-06,August,6,Tuesday,202,Very High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-07,08-07,August,7,Wednesday,186,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-08,08-08,August,8,Thursday,193,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-09,08-09,August,9,Friday,172,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-10,08-10,August,10,Saturday,146,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-11,08-11,August,11,Sunday,148,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-12,08-12,August,12,Monday,177,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-13,08-13,August,13,Tuesday,193,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-14,08-14,August,14,Wednesday,170,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-15,08-15,August,15,Thursday,195,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-16,08-16,August,16,Friday,195,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-17,08-17,August,17,Saturday,151,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-18,08-18,August,18,Sunday,128,Medium,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-19,08-19,August,19,Monday,175,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
311_dhs,2024-08-20,08-20,August,20,Tuesday,182,High,Number of 311 service requests handled by the Department of Homeless Services (DHS)
